scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S002pure.ext___db_parse_p75,S,db_parse_p75,ext_unix,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___epg_index,S,epg_index,ext_unix,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___epg_index_p25,S,epg_index_p25,ext_unix,none,none,0,none,1,0,0,4380,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___epg_index_p50,S,epg_index_p50,ext_unix,none,none,0,none,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___epg_index_p75,S,epg_index_p75,ext_unix,none,none,0,none,1,0,0,10524,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___epg_text,S,epg_text,ext_unix,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___epg_reserve,S,epg_reserve,ext_unix,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___timer_armed,S,timer_armed,ext_unix,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S002pure.ext___db_watch,S,db_watch,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.136277) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___ready,S,ready,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.136289) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___steady,S,steady,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.094135) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S003pure.tcp___init,S,init,tcp_est,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_open,S,db_open,tcp_est,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_read,S,db_read,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_read_p25,S,db_read_p25,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_read_p50,S,db_read_p50,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_read_p75,S,db_read_p75,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_parse,S,db_parse,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_parse_p25,S,db_parse_p25,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_parse_p50,S,db_parse_p50,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_parse_p75,S,db_parse_p75,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___epg_index,S,epg_index,tcp_est,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___epg_index_p25,S,epg_index_p25,tcp_est,none,none,0,none,1,0,0,4380,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___epg_index_p50,S,epg_index_p50,tcp_est,none,none,0,none,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___epg_index_p75,S,epg_index_p75,tcp_est,none,none,0,none,1,0,0,10524,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___epg_text,S,epg_text,tcp_est,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___epg_reserve,S,epg_reserve,tcp_est,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___timer_armed,S,timer_armed,tcp_est,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S003pure.tcp___db_watch,S,db_watch,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.133817) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S003pure.tcp___ready,S,ready,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.112140) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S003pure.tcp___steady,S,steady,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.144582) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S004pure.file__init,S,init,filelocks,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_open,S,db_open,filelocks,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_read,S,db_read,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_read_p25,S,db_read_p25,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_read_p50,S,db_read_p50,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_read_p75,S,db_read_p75,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_parse,S,db_parse,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_parse_p25,S,db_parse_p25,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_parse_p50,S,db_parse_p50,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_parse_p75,S,db_parse_p75,filelocks,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__epg_index,S,epg_index,filelocks,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__epg_index_p25,S,epg_index_p25,filelocks,none,none,0,none,1,0,0,4380,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__epg_index_p50,S,epg_index_p50,filelocks,none,none,0,none,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__epg_index_p75,S,epg_index_p75,filelocks,none,none,0,none,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__epg_text,S,epg_text,filelocks,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__epg_reserve,S,epg_reserve,filelocks,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__timer_armed,S,timer_armed,filelocks,none,none,0,none,1,0,0,13592,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S004pure.file__db_watch,S,db_watch,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.156420) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S004pure.file__ready,S,ready,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.111201) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S004pure.file__steady,S,steady,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.145500) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S005pure.perm__init,S,init,permissive,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_open,S,db_open,permissive,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_read,S,db_read,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_read_p25,S,db_read_p25,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_read_p50,S,db_read_p50,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_read_p75,S,db_read_p75,permissive,none,none,0,none,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_parse,S,db_parse,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_parse_p25,S,db_parse_p25,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_parse_p50,S,db_parse_p50,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_parse_p75,S,db_parse_p75,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__epg_index,S,epg_index,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__epg_index_p25,S,epg_index_p25,permissive,none,none,0,none,1,0,0,4380,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__epg_index_p50,S,epg_index_p50,permissive,none,none,0,none,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__epg_index_p75,S,epg_index_p75,permissive,none,none,0,none,1,0,0,10524,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__epg_text,S,epg_text,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__epg_reserve,S,epg_reserve,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__timer_armed,S,timer_armed,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S005pure.perm__db_watch,S,db_watch,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.145019) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S005pure.perm__ready,S,ready,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.188406) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S005pure.perm__steady,S,steady,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"","(00.147380) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S006hub1.stri__init,S,init,strict,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_open,S,db_open,strict,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_read,S,db_read,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_read_p25,S,db_read_p25,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_read_p50,S,db_read_p50,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_read_p75,S,db_read_p75,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_parse,S,db_parse,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_parse_p25,S,db_parse_p25,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_parse_p50,S,db_parse_p50,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__db_parse_p75,S,db_parse_p75,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__epg_index,S,epg_index,strict,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__epg_index_p25,S,epg_index_p25,strict,none,none,0,normal,1,0,0,4376,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__epg_index_p50,S,epg_index_p50,strict,none,none,0,normal,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__epg_index_p75,S,epg_index_p75,strict,none,none,0,normal,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__epg_text,S,epg_text,strict,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__epg_reserve,S,epg_reserve,strict,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S006hub1.stri__hub_conn1,S,hub_conn1,strict,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.160385) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S006hub1.stri__hub_subscribed,S,hub_subscribed,strict,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.133328) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S006hub1.stri__timer_armed,S,timer_armed,strict,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.102097) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S006hub1.stri__db_watch,S,db_watch,strict,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.097707) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S006hub1.stri__ready,S,ready,strict,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.123410) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S006hub1.stri__steady,S,steady,strict,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.129886) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S007hub1.ext___init,S,init,ext_unix,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_open,S,db_open,ext_unix,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_read,S,db_read,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_read_p25,S,db_read_p25,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_read_p50,S,db_read_p50,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_read_p75,S,db_read_p75,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_parse,S,db_parse,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_parse_p25,S,db_parse_p25,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_parse_p50,S,db_parse_p50,ext_unix,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___db_parse_p75,S,db_parse_p75,ext_unix,none,none,0,normal,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___epg_index,S,epg_index,ext_unix,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___epg_index_p25,S,epg_index_p25,ext_unix,none,none,0,normal,1,0,0,4380,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___epg_index_p50,S,epg_index_p50,ext_unix,none,none,0,normal,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___epg_index_p75,S,epg_index_p75,ext_unix,none,none,0,normal,1,0,0,10524,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___epg_text,S,epg_text,ext_unix,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___epg_reserve,S,epg_reserve,ext_unix,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S007hub1.ext___hub_conn1,S,hub_conn1,ext_unix,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.142633) Error (criu/sk-unix.c:881): unix: Can't dump half of stream unix connection. name: (null); peer name: ",""
S007hub1.ext___hub_subscribed,S,hub_subscribed,ext_unix,none,none,0,normal,1,1,na,13588,na,na,na,na,na,na,na,dump_fail,"","(00.088401) Error (criu/sk-unix.c:881): unix: Can't dump half of stream unix connection. name: (null); peer name: ",""
S007hub1.ext___timer_armed,S,timer_armed,ext_unix,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.094618) Error (criu/sk-unix.c:881): unix: Can't dump half of stream unix connection. name: (null); peer name: ",""
S007hub1.ext___db_watch,S,db_watch,ext_unix,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.142575) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S007hub1.ext___ready,S,ready,ext_unix,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.099287) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S007hub1.ext___steady,S,steady,ext_unix,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.091362) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S008hub1.tcp___init,S,init,tcp_est,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_open,S,db_open,tcp_est,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_read,S,db_read,tcp_est,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_read_p25,S,db_read_p25,tcp_est,none,none,0,normal,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_read_p50,S,db_read_p50,tcp_est,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_read_p75,S,db_read_p75,tcp_est,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_parse,S,db_parse,tcp_est,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_parse_p25,S,db_parse_p25,tcp_est,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_parse_p50,S,db_parse_p50,tcp_est,none,none,0,normal,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___db_parse_p75,S,db_parse_p75,tcp_est,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___epg_index,S,epg_index,tcp_est,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___epg_index_p25,S,epg_index_p25,tcp_est,none,none,0,normal,1,0,0,4376,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___epg_index_p50,S,epg_index_p50,tcp_est,none,none,0,normal,1,0,0,7452,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___epg_index_p75,S,epg_index_p75,tcp_est,none,none,0,normal,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___epg_text,S,epg_text,tcp_est,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___epg_reserve,S,epg_reserve,tcp_est,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S008hub1.tcp___hub_conn1,S,hub_conn1,tcp_est,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.297803) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S008hub1.tcp___hub_subscribed,S,hub_subscribed,tcp_est,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.137579) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S008hub1.tcp___timer_armed,S,timer_armed,tcp_est,none,none,0,normal,1,1,na,13592,na,na,na,na,na,na,na,dump_fail,"","(00.137837) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S008hub1.tcp___db_watch,S,db_watch,tcp_est,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.182245) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S008hub1.tcp___ready,S,ready,tcp_est,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.180049) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S008hub1.tcp___steady,S,steady,tcp_est,none,none,0,normal,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"","(00.092774) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S009hub1.file__init,S,init,filelocks,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S009hub1.file__db_open,S,db_open,filelocks,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S009hub1.file__db_read,S,db_read,filelocks,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S009hub1.file__db_read_p25,S,db_read_p25,filelocks,none,none,0,normal,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
S009hub1.file__db_read_p50,S,db_read_p50,filelocks,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"","",""
