name,features,n_phases,phases,desc,risks
fp_s_abstract_unix,abstract_unix,10,init base_mem f_abstract_unix_l01 f_abstract_unix_l02 f_abstract_unix_l03 f_abstract_unix_l04 f_abstract_unix ready served_first steady,single-feature probe: abstract namespace UNIX listen (경로 없는 버스),abstract_unix:medium
fp_s_lock_flock,lock_flock,8,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock ready served_first steady,single-feature probe: flock 배타 락 보유 (단일 인스턴스 락파일),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요)
fp_s_lock_posix,lock_posix,9,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix ready served_first steady,single-feature probe: fcntl POSIX 레코드 락 보유 (DB 파일 락),lock_posix:HIGH — --file-locks 필요
fp_c_media_hls,"tcp_established,thread4,timerfd,memfd",25,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_thread4 f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd f_memfd_l01 f_memfd_l02 f_memfd_l03 f_memfd_l04 f_memfd_l05 f_memfd ready served_first steady,HLS 스트리밍 플레이어: 서버 연결 + 디코더 스레드풀 + 프레임 타이머 + 렌더 버퍼,tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); thread4:low; timerfd:low; memfd:low (CRIU 4.x 지원)
fp_c_media_local,"mmap_priv,timerfd,thread1",18,init base_mem f_mmap_priv_l01 f_mmap_priv_l02 f_mmap_priv_l03 f_mmap_priv_l04 f_mmap_priv_l05 f_mmap_priv_l06 f_mmap_priv f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd f_thread1 ready served_first steady,로컬 미디어 재생: 파일 매핑 + 타이머 + I/O 스레드,mmap_priv:low; timerfd:low; thread1:low
fp_c_dvr,"logfile,lock_flock,timerfd",16,init base_mem f_logfile_l01 f_logfile_l02 f_logfile f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,DVR 녹화 서비스: 녹화 로그 + 파일 락 + 스케줄 타이머,logfile:low — regular file fd; lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); timerfd:low
fp_c_epg,"shm_posix,inotify,mmap_shared",25,init base_mem f_shm_posix_l01 f_shm_posix_l02 f_shm_posix_l03 f_shm_posix_l04 f_shm_posix_l05 f_shm_posix_l06 f_shm_posix_l07 f_shm_posix f_inotify_l01 f_inotify_l02 f_inotify_l03 f_inotify_l04 f_inotify f_mmap_shared_l01 f_mmap_shared_l02 f_mmap_shared_l03 f_mmap_shared_l04 f_mmap_shared_l05 f_mmap_shared_l06 f_mmap_shared ready served_first steady,EPG 캐시 서비스: 공유메모리 + 데이터 갱신 감시 + 캐시 파일 매핑,shm_posix:medium; inotify:medium — watch 경로 복원; mmap_shared:medium — 파일 동기화 의미
fp_c_luna_client,"unix_conn,epoll,eventfd",17,init base_mem f_unix_conn_l01 f_unix_conn_l02 f_unix_conn_l03 f_unix_conn_l04 f_unix_conn_l05 f_unix_conn f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll f_eventfd ready served_first steady,luna-service 버스 클라이언트: 버스 연결 + 이벤트 루프,unix_conn:medium — established unix; epoll:low; eventfd:low
fp_c_luna_daemon,"unix_listen,epoll,child",18,init base_mem f_unix_listen_l01 f_unix_listen_l02 f_unix_listen_l03 f_unix_listen_l04 f_unix_listen_l05 f_unix_listen_l06 f_unix_listen f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll f_child ready served_first steady,버스 데몬: UNIX listen + 이벤트 루프 + 워커 프로세스,unix_listen:medium — bind 경로 재생성; epoll:low; child:low — 프로세스 트리 dump
fp_c_launcher,"child,grandchild,session",8,init base_mem f_child f_grandchild f_session ready served_first steady,앱 런처: 2단 자식 트리 + 세션 분리,child:low — 프로세스 트리 dump; grandchild:medium — 깊은 트리; session:medium — 세션 리더 복원
fp_c_browser,"thread4,large_heap,memfd,socketpair",17,init base_mem f_thread4 f_large_heap_l01 f_large_heap_l02 f_large_heap f_memfd_l01 f_memfd_l02 f_memfd_l03 f_memfd_l04 f_memfd_l05 f_memfd f_socketpair_l01 f_socketpair ready served_first steady,웹앱/브라우저 탭: 스레드풀 + 대형 힙 + 렌더 버퍼 + 내부 채널,thread4:low; large_heap:none — dump 이미지만 커짐; memfd:low (CRIU 4.x 지원); socketpair:low
fp_c_ads,"udp,itimer,logfile",16,init base_mem f_udp_l01 f_udp_l02 f_udp_l03 f_udp f_itimer_l01 f_itimer_l02 f_itimer_l03 f_itimer f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,광고/비콘 모듈: UDP + 주기 타이머 + 로그,udp:low; itimer:medium — 진행 중 타이머+핸들러; logfile:low — regular file fd
fp_c_voice,"signalfd,thread1,pipe",12,init base_mem f_signalfd_l01 f_signalfd_l02 f_signalfd f_thread1 f_pipe_l01 f_pipe_l02 f_pipe ready served_first steady,음성 에이전트: 시그널 제어 + 오디오 스레드 + 파이프,signalfd:low; thread1:low; pipe:low — 파이프 버퍼 내용 dump
fp_c_photos,"mmap_priv,large_heap",15,init base_mem f_mmap_priv_l01 f_mmap_priv_l02 f_mmap_priv_l03 f_mmap_priv_l04 f_mmap_priv_l05 f_mmap_priv_l06 f_mmap_priv f_large_heap_l01 f_large_heap_l02 f_large_heap ready served_first steady,사진 뷰어: 이미지 매핑 + 디코딩 힙,mmap_priv:low; large_heap:none — dump 이미지만 커짐
fp_c_game,"large_heap,thread4,futex_wait",10,init base_mem f_large_heap_l01 f_large_heap_l02 f_large_heap f_thread4 f_futex_wait ready served_first steady,네이티브 게임: 대형 힙 + 스레드풀 + 유휴 워커(futex),large_heap:none — dump 이미지만 커짐; thread4:low; futex_wait:medium — 블록 상태 복원
fp_c_settings,"mq,sem_sysv,logfile",17,init base_mem f_mq_l01 f_mq_l02 f_mq_l03 f_mq_l04 f_mq_l05 f_mq f_sem_sysv_l01 f_sem_sysv_l02 f_sem_sysv f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,설정 서비스: 메시지 큐 + 레거시 세마포어 + 로그,mq:medium; sem_sysv:medium; logfile:low — regular file fd
fp_c_updater,"inotify,tmpunlink,lock_posix",18,init base_mem f_inotify_l01 f_inotify_l02 f_inotify_l03 f_inotify_l04 f_inotify f_tmpunlink_l01 f_tmpunlink_l02 f_tmpunlink_l03 f_tmpunlink f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix ready served_first steady,업데이트 데몬: 디렉터리 감시 + 임시파일 + DB 락,inotify:medium — watch 경로 복원; tmpunlink:medium — ghost file 복원 경로; lock_posix:HIGH — --file-locks 필요
fp_c_screensaver,"timerfd,mmap_priv",17,init base_mem f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd f_mmap_priv_l01 f_mmap_priv_l02 f_mmap_priv_l03 f_mmap_priv_l04 f_mmap_priv_l05 f_mmap_priv_l06 f_mmap_priv ready served_first steady,스크린세이버: 타이머 + 리소스 매핑,timerfd:low; mmap_priv:low
fp_c_telemetry,"udp,logfile,posix_timer",19,init base_mem f_udp_l01 f_udp_l02 f_udp_l03 f_udp f_logfile_l01 f_logfile_l02 f_logfile f_posix_timer_l01 f_posix_timer_l02 f_posix_timer_l03 f_posix_timer_l04 f_posix_timer_l05 f_posix_timer_l06 f_posix_timer ready served_first steady,텔레메트리: UDP 송신 + 로그 + RT 타이머,udp:low; logfile:low — regular file fd; posix_timer:medium
fp_c_broker,"socketpair,unix_listen,epoll",19,init base_mem f_socketpair_l01 f_socketpair f_unix_listen_l01 f_unix_listen_l02 f_unix_listen_l03 f_unix_listen_l04 f_unix_listen_l05 f_unix_listen_l06 f_unix_listen f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,IPC 브로커: 내부 채널 + UNIX listen + 이벤트 루프,socketpair:low; unix_listen:medium — bind 경로 재생성; epoll:low
fp_c_db,"lock_posix,mmap_shared,logfile",19,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_mmap_shared_l01 f_mmap_shared_l02 f_mmap_shared_l03 f_mmap_shared_l04 f_mmap_shared_l05 f_mmap_shared_l06 f_mmap_shared f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,임베디드 DB 서비스: 레코드 락 + 파일 매핑 + WAL 로그,lock_posix:HIGH — --file-locks 필요; mmap_shared:medium — 파일 동기화 의미; logfile:low — regular file fd
fp_c_thumbnailer,"child,pipe,tmpunlink",13,init base_mem f_child f_pipe_l01 f_pipe_l02 f_pipe f_tmpunlink_l01 f_tmpunlink_l02 f_tmpunlink_l03 f_tmpunlink ready served_first steady,썸네일 생성기: 자식 워커 + 파이프 + 임시파일,child:low — 프로세스 트리 dump; pipe:low — 파이프 버퍼 내용 dump; tmpunlink:medium — ghost file 복원 경로
fp_c_notify,"eventfd,timerfd,unix_conn",17,init base_mem f_eventfd f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd f_unix_conn_l01 f_unix_conn_l02 f_unix_conn_l03 f_unix_conn_l04 f_unix_conn_l05 f_unix_conn ready served_first steady,알림 서비스: 이벤트 fd + 타이머 + 버스 연결,eventfd:low; timerfd:low; unix_conn:medium — established unix
fp_c_input,"epoll,timerfd,unix_listen",22,init base_mem f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd f_unix_listen_l01 f_unix_listen_l02 f_unix_listen_l03 f_unix_listen_l04 f_unix_listen_l05 f_unix_listen_l06 f_unix_listen ready served_first steady,입력 서비스: 이벤트 루프 + 리핏 타이머 + UNIX listen,epoll:low; timerfd:low; unix_listen:medium — bind 경로 재생성
fp_c_wifi,"netlink,epoll",16,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,Wi-Fi 매니저: netlink 감시 + 이벤트 루프,netlink:HIGH — netlink 복원 제한; epoll:low
fp_c_bt,"netlink,thread1,eventfd",13,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_thread1 f_eventfd ready served_first steady,블루투스 매니저: netlink + 워커 + 이벤트 fd,netlink:HIGH — netlink 복원 제한; thread1:low; eventfd:low
fp_c_appstore,"tcp_established,tmpunlink,logfile",20,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_tmpunlink_l01 f_tmpunlink_l02 f_tmpunlink_l03 f_tmpunlink f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,앱스토어 다운로더: 서버 연결 + 다운로드 임시파일 + 로그,tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); tmpunlink:medium — ghost file 복원 경로; logfile:low — regular file fd
fp_c_backup,"lock_flock,mmap_shared,child",16,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_mmap_shared_l01 f_mmap_shared_l02 f_mmap_shared_l03 f_mmap_shared_l04 f_mmap_shared_l05 f_mmap_shared_l06 f_mmap_shared f_child ready served_first steady,백업 서비스: 락 + 파일 매핑 + 워커 프로세스,lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); mmap_shared:medium — 파일 동기화 의미; child:low — 프로세스 트리 dump
fp_c_debug_console,"tty,pipe",12,init base_mem f_tty_l01 f_tty_l02 f_tty_l03 f_tty f_pipe_l01 f_pipe_l02 f_pipe ready served_first steady,디버그 콘솔 브리지: tty + 파이프,tty:HIGH — 터미널 fd; ctty 없으면 open 자체가 skip; pipe:low — 파이프 버퍼 내용 dump
fp_c_watchdog,"itimer,signalfd,logfile",15,init base_mem f_itimer_l01 f_itimer_l02 f_itimer_l03 f_itimer f_signalfd_l01 f_signalfd_l02 f_signalfd f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,워치독: 주기 SIGALRM + signalfd + 로그,itimer:medium — 진행 중 타이머+핸들러; signalfd:low; logfile:low — regular file fd
fp_c_cache_mgr,"tmpunlink,inotify,shm_posix",22,init base_mem f_tmpunlink_l01 f_tmpunlink_l02 f_tmpunlink_l03 f_tmpunlink f_inotify_l01 f_inotify_l02 f_inotify_l03 f_inotify_l04 f_inotify f_shm_posix_l01 f_shm_posix_l02 f_shm_posix_l03 f_shm_posix_l04 f_shm_posix_l05 f_shm_posix_l06 f_shm_posix_l07 f_shm_posix ready served_first steady,캐시 매니저: ghost 파일 + 감시 + 공유메모리,tmpunlink:medium — ghost file 복원 경로; inotify:medium — watch 경로 복원; shm_posix:medium
fp_c_audio,"shm_sysv,timerfd,thread1",16,init base_mem f_shm_sysv_l01 f_shm_sysv_l02 f_shm_sysv_l03 f_shm_sysv_l04 f_shm_sysv f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd f_thread1 ready served_first steady,오디오 서버: SysV shm 버퍼 + 주기 타이머 + 스레드,shm_sysv:HIGH — RMID된 세그먼트 복원; timerfd:low; thread1:low
fp_c_render,"memfd,shm_posix,thread4",20,init base_mem f_memfd_l01 f_memfd_l02 f_memfd_l03 f_memfd_l04 f_memfd_l05 f_memfd f_shm_posix_l01 f_shm_posix_l02 f_shm_posix_l03 f_shm_posix_l04 f_shm_posix_l05 f_shm_posix_l06 f_shm_posix_l07 f_shm_posix f_thread4 ready served_first steady,렌더 서비스: memfd + 공유메모리 + 스레드풀,memfd:low (CRIU 4.x 지원); shm_posix:medium; thread4:low
fp_p00_tcp_established__timerfd,"tcp_established,timerfd",18,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,pair probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결) + 주기 timerfd (프레임/폴링 타이머),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); timerfd:low
fp_p01_tcp_established__epoll,"tcp_established,epoll",18,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,pair probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결) + epoll 인스턴스 + 등록 fd (이벤트 루프),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); epoll:low
fp_p02_tcp_established__thread1,"tcp_established,thread1",14,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_thread1 ready served_first steady,pair probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결) + 워커 스레드 1개 (I/O 헬퍼),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); thread1:low
fp_p03_tcp_established__large_heap,"tcp_established,large_heap",16,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_large_heap_l01 f_large_heap_l02 f_large_heap ready served_first steady,pair probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결) + 대형 힙 (브라우저/게임의 리소스 로딩),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); large_heap:none — dump 이미지만 커짐
fp_p04_tcp_established__logfile,"tcp_established,logfile",16,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,pair probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결) + append 로그 파일 fd (모든 서비스 데몬),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); logfile:low — regular file fd
fp_p05_tcp_established__eventfd,"tcp_established,eventfd",14,init base_mem f_tcp_established_l01 f_tcp_established_l02 f_tcp_established_l03 f_tcp_established_l04 f_tcp_established_l05 f_tcp_established_l06 f_tcp_established_l07 f_tcp_established f_eventfd ready served_first steady,pair probe: 연결 성립된 loopback TCP 쌍 (스트리밍/앱스토어 연결) + eventfd (이벤트 루프 wakeup),tcp_established:HIGH — 기본 옵션 dump 거부 예상 (--tcp-established 필요); eventfd:low
fp_p06_lock_flock__timerfd,"lock_flock,timerfd",13,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,pair probe: flock 배타 락 보유 (단일 인스턴스 락파일) + 주기 timerfd (프레임/폴링 타이머),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); timerfd:low
fp_p07_lock_flock__epoll,"lock_flock,epoll",13,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,pair probe: flock 배타 락 보유 (단일 인스턴스 락파일) + epoll 인스턴스 + 등록 fd (이벤트 루프),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); epoll:low
fp_p08_lock_flock__thread1,"lock_flock,thread1",9,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_thread1 ready served_first steady,pair probe: flock 배타 락 보유 (단일 인스턴스 락파일) + 워커 스레드 1개 (I/O 헬퍼),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); thread1:low
